UID,Start Time,Start Lat,Start Long,Stop Time,Stop Lat,Stop Long
d377175a,24/04/2019 18:57:07,5.5348,134.2221,24/04/2019 18:59:16,11.9954,138.9647
def4113a,24/04/2019 19:01:17,17.9881,143.6664,24/04/2019 19:03:25,24.1861,149.0585
60c60396,24/04/2019 19:05:26,29.797,154.6799,24/04/2019 19:07:34,35.4083,161.4307
1d5c311e,24/04/2019 19:09:35,40.2381,168.7358,24/04/2019 19:11:43,44.6898,177.6908
243ce34f,24/04/2019 19:13:44,48.0653,-172.5621,24/04/2019 19:15:52,50.5151,-160.9386
2d552e8e,24/04/2019 19:17:52,51.565,-149.0896,24/04/2019 19:20:01,51.2193,-136.2992
eb93ea15,24/04/2019 19:22:02,49.553,-124.7931,24/04/2019 19:24:10,46.5358,-113.7323
cd3b82b0,24/04/2019 19:26:11,42.7398,-104.6041,24/04/2019 19:28:19,37.9394,-96.2339
63871d6d,24/04/2019 19:30:20,32.8775,-89.4093,24/04/2019 19:32:28,27.0959,-83.0643
eecceb23,24/04/2019 19:34:28,21.3663,-77.7214,24/04/2019 19:36:37,15.0828,-72.5389
143ef146,24/04/2019 19:38:38,9.0384,-67.9641,24/04/2019 19:40:46,2.5457,-63.2881
af1223fe,24/04/2019 19:42:47,-3.5841,-58.9384,24/04/2019 19:44:55,-10.0642,-54.2448
ffe2ef51,24/04/2019 19:46:56,-16.0872,-49.6339,24/04/2019 19:49:04,-22.3361,-44.3904
04eadca3,24/04/2019 19:51:05,-28.0183,-38.9669,24/04/2019 19:53:13,-33.7247,-32.5174
ceee600d,24/04/2019 19:55:14,-38.7022,-25.559,24/04/2019 19:57:22,-43.3884,-17.0164
2c3f696f,24/04/2019 19:59:23,-47.0459,-7.7167,24/04/2019 20:01:31,-49.8836,3.5024
534dc8d4,24/04/2019 20:03:32,-51.3585,15.0956,24/04/2019 20:05:40,-51.4942,27.8626
6c452844,24/04/2019 20:07:41,-50.2622,39.5861,24/04/2019 20:09:49,-47.6464,51.0319
206c011c,24/04/2019 20:11:50,-44.1563,60.5697,24/04/2019 20:13:58,-39.611,69.3378
e24e5eec,24/04/2019 20:15:59,-34.7251,76.4868,24/04/2019 20:18:07,-29.0817,83.1015
e7be2959,24/04/2019 20:20:08,-23.4491,88.6324,24/04/2019 20:22:16,-17.2424,93.9524
c6ec7509,24/04/2019 20:24:17,-11.2393,98.6147,24/04/2019 20:26:25,-4.7947,103.319
de9a2da4,24/04/2019 20:28:26,1.3339,107.6729,24/04/2019 20:30:34,7.8297,112.3251
952b5b65,24/04/2019 20:32:35,13.8882,116.854,24/04/2019 20:34:43,20.2022,121.9613
